Chapter Number,ChapterName,SubChapterName,Classification,QuestionNumber,QuestionText,Option1,Option2,Option3,Option4,Image?,Answer,AnswerDescription,QuestionType
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,1,"A spherical balloon of volume 253 mL is to be fi lled with helium gas at STP from a cylinder containing gas at 20 atm and 127^0&C. If the cylinder can hold 2 L of water, then calculate the number of balloons that can be fi lled up.",150,100,50,160,,b,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,2,"The composition of a gaseous mixture is N~2* = 56%, O~2* = 32%, Ar = 12% by mass. What is the partial pressure of nitrogen at 1 atm pressure?",0.3 atm,0.6 atm,0.1 atm,0.2 atm,,b,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,3,"At a given temperature, the density of a given mass of a gas is ________.",proportional to pressure,inversely proportional to pressure,proportional to its volume,inversely proportional to the number of moles,,a,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,4,"A gold manufacturing company manufactures gold coins with absolutely pure gold. If the mass of each gold coin is 9.85 g and 1000 gold coins are manufactured per day, calculate the number of moles of gold consumed per day. (At. wt. of gold is 197 amu)",100,50,0.05,20,,b,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,5,A closed cylinder is fi rst evacuated and then connected to another cylinder of 75-L volume containing an ideal gas ‘X’. The pressure of the gas in the second cylinder falls from 22 atm to 10 atm. Calculate the volume of the first cylinder.,165 L,90 L,127 L,95 L,,b,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,6,T he density of a mixture of He and O~2* at STP is 1.25 g/L. What is the partial pressure of O~2*?,0.95 atm,0.65 atm,0.85 atm,0.75 atm,,c,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,7,A rubber balloon which is permeable to all the isotopes of hydrogen is filled with pure tritium. It is placed in a closed box containing pure hydrogen under similar conditions of temperature and pressure. Identify the correct observation regarding the balloon.,The balloon first expands and then contracts.,The balloon first contracts first and then expands.,The balloon expands.,The balloon contracts.,,c,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,8,A bottle is heated from 27^0&C to 127^0&C at constant pressure. What fraction of air gets expelled?,25%,50%,75%,90%,,a,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,9,An oxide of Cr contains 68.5% of Cr by weight. Find the empirical formula of the oxide. (Atomic weight of Cr = 52),Cr~2*O~3*,Cr~3*O~2*,Cr~2*O,CrO~2*,,a,,MCQ
1,"Mole Concept, Stoichiometry and Behaviour of Gases",,Assessement Test - I,10,"Two gram atoms of Na are burnt in excess of oxygen and the oxide is
dissolved in water to make up 500-mL solution. Calculate the molarity of the solution.",1 M,2 M,3 M,4 M,,d,,MCQ
