ChapterName,TestNumber,QuestionNumber,Answer
Atomic Structure,1,1,a
Atomic Structure,1,2,d
Atomic Structure,1,3,c
Atomic Structure,1,4,c
Atomic Structure,1,5,d
Atomic Structure,1,6,b
Atomic Structure,1,7,c
Atomic Structure,1,8,b
Atomic Structure,1,9,d
Atomic Structure,1,10,c
Atomic Structure,1,11,a
Atomic Structure,1,12,a
Atomic Structure,1,13,c
Atomic Structure,1,14,b
Atomic Structure,1,15,a
Atomic Structure,2,1,c
Atomic Structure,2,2,d
Atomic Structure,2,3,c
Atomic Structure,2,4,b
Atomic Structure,2,5,d
Atomic Structure,2,6,c
Atomic Structure,2,7,b
Atomic Structure,2,8,c
Atomic Structure,2,9,a
Atomic Structure,2,10,b
Atomic Structure,2,11,d
Atomic Structure,2,12,b
Atomic Structure,2,13,a
Atomic Structure,2,14,c
Atomic Structure,2,15,a
Atomic Structure,3,1,c
Atomic Structure,3,2,a
Atomic Structure,3,3,d
Atomic Structure,3,4,d
Atomic Structure,3,5,c
Atomic Structure,3,6,c
Atomic Structure,3,7,c
Atomic Structure,3,8,a
Atomic Structure,3,9,d
Atomic Structure,3,10,c
Atomic Structure,3,11,c
Atomic Structure,3,12,b
Atomic Structure,3,13,c
Atomic Structure,3,14,b
Atomic Structure,3,15,b
Atomic Structure,4,1,d
Atomic Structure,4,2,d
Atomic Structure,4,3,c
Atomic Structure,4,4,a
Atomic Structure,4,5,b
Atomic Structure,4,6,b
Atomic Structure,4,7,a
Atomic Structure,4,8,c
Atomic Structure,4,9,d
Atomic Structure,4,10,c
Atomic Structure,4,11,b
Atomic Structure,4,12,a
Atomic Structure,4,13,d
Atomic Structure,4,14,b
Atomic Structure,4,15,d
