ChapterName,TestNumber,QuestionNumber,QuestionDescription,Option1,Option2,Option3,Option4,Image?
Atomic Structure,1,1,Which of the following is a contradiction to Dalton's atomic theory?,Discovery of Isotopes,Law of Definite proportions,Law of conservation of mass,Discovery of nucleus,
Atomic Structure,1,2,"An atomic model is represented by the figure given below
Identify the fact (from following statements) which could be successfully explained by the given atomic model.",Total positive charge is equal to total negative charge,Positively charged particles are shielded from negatively charged particles,The existence of nucleus in an atom,Electrons are universal constituents of matter,X
Atomic Structure,1,3,"Identify the sets of orbits (electronic transistors)associated with release of energy
(A) L -> M    (B)  K -> M   (C)  L -> K    (D)  M-> L   (E)  M->N   (F) N-> K",ACD,BCE,CDF,CDE,
Atomic Structure,1,4,"Assertion (A) : The orbits in which electrons are present are called stationary orbits.
Reason (R) : Electrons remain stationary in those orbits",Both A and R are true and R is the correct explanation of A,"Both A and R are true, but R is not the correct explanation of A",A is true and R is false,A is false and R is true,
Atomic Structure,1,5,"An atom 'X' has a mass of protons 36,740 time sthat of electrons.  Identify the correct representation of the atom.  The number of neutrons is 1 unit less than the protons.",<sub>10</sub>X<sup>20</sup>,<sub>10</sub>X<sup>22</sup>,<sub>20</sub>X<sup>40</sup>,<sub>20</sub>X<sup>99</sup>,
Atomic Structure,1,6,"If 'a' is the number of electrons in a dispositive ion and it has three neutrons more than the number of protons, identify the atomic number and mass number","a+2, a+5","a+2, 2a+7","a+5, 2a+7","a+5, 2a+5",
Atomic Structure,1,7,"Which of the following corresponds to the incorrect match with respect to their formation?
(A) O<sup>2</sup> ion - Loss of two electrons     (B) N<sup>-3</sup> ion - Gain of three electrons 
(C) Mg<sup>+2</sup> ion - Loss of two electrons  (D) K<sup>+</sup> ion - Gain of one electrons",A and B,B and C,A and D,C and D,
Atomic Structure,1,9,"Assertion (A) : In α-ray scattering experiment, most of the α particles were completely rebounded.
Reason (R) :  The entire positive charge is concentrated in the small central part known as nucleus.",Both A and R are true and R is the correct explanation of A,"Both A and R are true, but R is not the correct explanation of A",A is true and R is false,A is false and R is true,
Atomic Structure,1,10,"Arrange the important points of various theories in chronological order.
(A) presence of electrons in K, 1, M and N shells
(B) Combination of atoms in simple numerical ratio.
(C) Electrical neutrality of atom
(D) the diameter of nucleus is 10<sup>-5 times that of the atom",CBAD,DCBA,BCDA,BDAC,
Atomic Structure,1,11,"Arrange the following pairs in the order of metals, non-metals, noble gases, isotopes and isobars :
(A)  <sub>Z</sub> A <sup>X</sup>, <sub> X+2</sub> B <sup>X</sup>    (B)  <sub>10</sub> X <sup>20</sup>, <sub>18</sub> Y <sup>36</sup>,  
(C)  <sub>Z</sub> A <sup>X</sup>, <sub>Z</sub> A <sup>X+2</sup>    (D)  <sub>8</sub> X <sup>16</sup>, <sub>16</sub> Y <sup>32</sup>",EDBCA,DEBAC,DBECA,EBDAC,
Atomic Structure,1,12,Match the values of Column A with those of Column B.,(i) --> (C); (ii) --> (E); (iii) --> (B); (iv) --> (A);  (v) --> (D),(i) --> (B); (ii) --> (D); (iii) --> (E); (iv) --> (A);  (v) --> (C),(i) --> (E); (ii) --> (B); (iii) --> (C); (iv) --> (D);  (v) --> (A),(i) --> (C); (ii) --> (E); (iii) --> (A); (iv) --> (B);  (v) --> (D),
